"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Create profit center using unauthorized user tokens - expect 403","FinanceAllAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","createProfitCenterWithUnauthorizedUser"
"","0","Approval workflow L1+L2: amount 50k (10k-1L band) - GAM then FC","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","approvalWorkflow_L1_and_L2_forAmount50k"
"","0","Search profit center records","FinanceAllAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","profitCenterSearch"
"","0","Generate journal entry number","FinanceAllAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","generateJeNumber"
"","27","Get journal entry count","FinanceAllAPI","2026-06-05","broken","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","journalEntryCount"
"","25","Search GL company","FinanceAllAPI","2026-06-05","broken","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","glSearchCompany"
"","1","Re-search the Credit Memo and verify it transitioned out of DRAFT/PENDING_REVIEW","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","verifyCreditMemoFinalState"
"","0","Create cost center using unauthorized user tokens - expect 403","FinanceAllAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","createCostCenterWithUnauthorizedUser"
"","0","Submit Credit Memo for review (status=PENDING_REVIEW)","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","submitCreditMemoForReview"
"","0","Create GL account using unauthorized user tokens - expect 403","FinanceAllAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","createGlAccountWithUnauthorizedUser"
"","26","Get profit center count","FinanceAllAPI","2026-06-05","broken","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","profitCenterCount"
"","0","Approval workflow L1+L3: amount 101k (>1L) - GAM then SGAM (FC not in 10k-1L band)","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","approvalWorkflow_L1_and_L3_above1Lakh"
"","323","Search currency records","FinanceAllAPI","2026-06-05","broken","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","searchCurrency"
"","0","Level-3 approval by Senior Group Accounting Manager (Suyash) - required for amount > 1 lakh","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","approveCreditMemoBySeniorGroupAccountingManager"
"","0","Search cost center records","FinanceAllAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","costCenterSearch"
"","0","Search journal entries","FinanceAllAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","journalEntrySearch"
"","0","Approval workflow L1+L2: amount 15k (>10k, <=1L) - GAM then FC","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","approvalWorkflow_L1_and_L2_forAmount15k"
"","0","Level-1 approval by Group Accounting Manager (Rohini) - required for amount > 10k","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","approveCreditMemoByGroupAccountingManager"
